billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","36818","CPT","[]"
"professional","27098","CPT","['U1']"
"professional","80426","CPT","['TC']"
"professional","74400","CPT","['U1']"
"professional","94664","CPT","['26']"
"professional","E1803","HCPCS","[]"
"professional","A4636","HCPCS","['UE','RR','KE']"
"professional","G9109","HCPCS","[]"
"professional","99350","CPT","['26']"
"professional","58350","CPT","[]"
"professional","36558","CPT","[]"
"professional","73221","CPT","['26']"
"professional","86485","CPT","['27']"
"professional","Q3031","HCPCS","[]"
"professional","23400","CPT","['U1']"
"professional","87279","CPT","['27']"
"professional","81015","CPT","['26']"
"professional","A9530","HCPCS","['NU']"
"institutional","0531T","CPT","[]"
"professional","77307","CPT","[]"
"professional","E2504","HCPCS","[]"
"professional","82978","CPT","['27']"
"professional","55650","CPT","['U1']"
"professional","65285","CPT","[]"
"institutional","0871T","CPT","[]"
"professional","50434","CPT","['U1']"
"professional","33970","CPT","['U1']"
"professional","91322","CPT","[]"
"professional","G9983","HCPCS","['95']"
"professional","26235","CPT","[]"
"professional","E0655","HCPCS","['UE']"
"professional","11721","CPT","['U1']"
"institutional","33016","CPT","[]"
"professional","48540","CPT","[]"
"professional","E2369","HCPCS","[]"
"professional","A4660","HCPCS","[]"
"professional","G2087","HCPCS","['GQ']"
"professional","J0285","HCPCS","[]"
"institutional","64633","CPT","[]"
"professional","E0185","HCPCS","[]"
"institutional","0894","MS-DRG","[]"
"professional","E0236","HCPCS","['KI']"
"professional","E0484","HCPCS","['UE']"
"institutional","33925","CPT","[]"
"professional","37605","CPT","[]"
"professional","87811","CPT","['QW']"
"professional","0310U","CPT","[]"
"professional","K0073","HCPCS","['UE']"
"professional","76870","CPT","['TC']"
"professional","G9984","HCPCS","['G0']"
"professional","82382","CPT","['27']"
"professional","82310","CPT","['QW']"
"professional","22836","CPT","[]"
"professional","E2331","HCPCS","[]"
"professional","27307","CPT","['U1']"
"professional","G0421","HCPCS","[]"
"institutional","41130","CPT","[]"
"professional","0232U","CPT","[]"
"professional","78457","CPT","['U1']"
"professional","36425","CPT","[]"
"professional","88299","CPT","[]"
"professional","92526","CPT","['U1']"
"professional","93786","CPT","['TC']"
"professional","84220","CPT","[]"
"professional","93025","CPT","['27']"
"professional","84482","CPT","['27']"
