billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,L2020,HCPCS,[],ALLOW,ok,
professional,26442,CPT,[],ALLOW,ok,
professional,G0397,HCPCS,['95'],ALLOW,ok,
professional,73721,CPT,['U1'],ALLOW,ok,
institutional,11983,CPT,[],ALLOW,ok,
professional,47300,CPT,['U1'],ALLOW,ok,
institutional,48550,CPT,[],ALLOW,ok,
institutional,B206YZZ,ICD,[],ALLOW,ok,
professional,J9316,HCPCS,[],ALLOW,ok,
professional,81238,CPT,[],ALLOW,ok,
professional,E0618,HCPCS,['KH'],ALLOW,ok,
institutional,45150,CPT,[],ALLOW,ok,
professional,83835,CPT,['26'],ALLOW,ok,
professional,28118,CPT,[],ALLOW,ok,
professional,46710,CPT,[],ALLOW,ok,
institutional,28173,CPT,[],ALLOW,ok,
professional,76932,CPT,['TC'],ALLOW,ok,
professional,54692,CPT,[],ALLOW,ok,
professional,E2311,HCPCS,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,31630,CPT,[],ALLOW,ok,
institutional,50386,CPT,[],ALLOW,ok,
professional,E0118,HCPCS,[],ALLOW,ok,
professional,E2374,HCPCS,"['NU','UE','KE']",ALLOW,ok,
institutional,0809,MS-DRG,[],ALLOW,ok,
professional,E0954,HCPCS,[],ALLOW,ok,
professional,86663,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,A6411,HCPCS,[],ALLOW,ok,
professional,89330,CPT,['U1'],ALLOW,ok,
institutional,64645,CPT,[],ALLOW,ok,
institutional,33771,CPT,[],ALLOW,ok,
institutional,69540,CPT,[],ALLOW,ok,
professional,01670,CPT,[],ALLOW,ok,
professional,Q4354,HCPCS,[],ALLOW,ok,
institutional,69554,CPT,[],ALLOW,ok,
professional,L1720,HCPCS,[],ALLOW,ok,
professional,92511,CPT,['U1'],ALLOW,ok,
institutional,33953,CPT,[],ALLOW,ok,
professional,A9566,HCPCS,[],ALLOW,ok,
professional,70330,CPT,['U1'],ALLOW,ok,
professional,A5102,HCPCS,[],ALLOW,ok,
professional,82104,CPT,['U1'],ALLOW,ok,
institutional,33947,CPT,[],ALLOW,ok,
professional,J0218,HCPCS,[],ALLOW,ok,
professional,L8465,HCPCS,[],ALLOW,ok,
professional,27330,CPT,['U1'],ALLOW,ok,
professional,97166,CPT,[],ALLOW,ok,
professional,85307,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,86727,CPT,[],ALLOW,ok,
professional,61522,CPT,[],ALLOW,ok,
professional,K0044,HCPCS,['UE'],ALLOW,ok,
professional,A6449,HCPCS,[],ALLOW,ok,
professional,E0140,HCPCS,[],ALLOW,ok,
professional,E2324,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,E2373,HCPCS,"['RR','NU','KC']",ALLOW,ok,
professional,93454,CPT,[],ALLOW,ok,
professional,19297,CPT,['U1'],ALLOW,ok,
